# id	file_path	transparent_color_r	g	b
[TEXTURES]
** FRONT STANDING MARIO
27008	155	1035	171	1060
27009	185	1036	201	1060
27010	215	1035	231	1060
27011	245	1036	261	1060
27012	275	1035	291	1060
** BACK STADING MARIO
27013	305	1035	321	1061
27014	335	1035	351	1060
27015	365	1034	381	1061
** RIGHT-UPSIDE DOWN
27016	393	1024	413	1048
27017	423	1026	443	1046
27018	391	1056	415	1076
27019	423	1056	443	1076

#BLACK MARIO
**LEFT MARIO  
29001	5	1084	21	1112
29002	34	1084	51	1111
29003	64	1084	81	1112
29004	93	1084	112	1112
29005	125	1084	141	1111
29006	155	1084	171	1112
29007	185	1084	201	1112
**MIDDLE MARIO
29008	215	1084	231	1112
**RIGHT MARIO 
29009	245	1084	261	1112
29010	275	1084	291	1112
29011	305	1084	321	1111
29012	334	1084	353	1112
29013	365	1084	381	1112
29014	395	1084	412	1111
29015	425	1084	441	1112

#FLY BLACK MARIO
**LEFT MARIO
30001	5	1124	21	1151
30002	33	1124	52	1151
30003	63	1124	82	1152
30004	93	1124	112	1152
30005	123	1124	142	1152
30006	154	1124	171	1152
30007	184	1124	202	1152
**MIDDLE MARIO
30008	215	1124	231	1152
**RIGHT MARIO
30009	244	1124	262	1152
30010	275	1124	292	1152
30011	304	1124	323	1152
30012	334	1124	353	1152
30013	364	1124	383	1152
30014	394	1124	413	1151
30015	425	1124	441	1151

#RAISE-HAND BLACK MARIO
**LEFT MARIO
31001	5	1170	21	1186
31002	35	1164	51	1192
31003	65	1164	81	1192
31004	95	1164	111	1192
31005	125	1164	141	1191
31006	155	1164	171	1192
31007	185	1164	201	1192
**MIDDLE MARIO
31008	215	1164	231	1192
**RIGHT MARIO
31009	245	1164	261	1192
31010	275	1164	291	1192
31011	305	1164	321	1192
31012	335	1164	351	1192
31013	365	1164	381	1192
31014	395	1164	411	1192
31015	425	1170	441	1186

#RAISE-FEET MARIO
**LEFT MARIO
32001	2	1204	24	1232
32002	35	1204	51	1231	
**BACK-FRONT MARIO
32003	95	1205	111	1231
32004	122	1204	143	1232
32005	155	1204	171	1232
32006	185	1204	201	1232
32007	215	1204	231	1232
32008	245	1204	261	1232
32009	275	1204	291	1232
32010	303	1204	324	1232
32011	335	1205	351	1231
**RIGHT-MARIO
32012	395	1204	411	1231
32013	422	1204	444	1232

#WALK BLACK MARIO
** LEFT MARIO
33001	3	1244	22	1271	
33002	33	1244	52	1272
33003	65	1244	81	1272
33004	95	1244	111	1272
33005	124	1244	141	1271
33006	154	1244	171	1272
** FRONT MARIO
33007	214	1247	232	1268
** RIGHT MARIO
33008	275	1244	292	1272
33009	305	1244	322	1271
33010	335	1244	351	1272
33011	365	1244	381	1272
33012	394	1244	413	1272
33013	424	1244	443	1271

#TURTLE MARIO
** LEFT-CIRCLE MARIO
34001	3	1288	22	1307	
34002	34	1289	52	1307
34003	64	1288	82	1308
34004	94	1288	112	1307
** LEFT-FARMING MARIO
34005	125	1290	141	1313
34006	155	1288	171	1312
34007	185	1284	201	1312
** RIGHT-FARMING MARIO
34008	245	1284	261	1312
34009	275	1288	291	1312
34010	305	1290	321	1313
** RIGHT-CIRCLE MARIO
34011	334	1288	352	1307
34012	364	1288	382	1308
34013	394	1289	412	1307
34014	424	1288	443	1307

# CAT-WALKING MARIO 
** LEFT MARIO
35001	5	1323	21	1352
35002	32	1324	53	1351
35003	60	1324	85	1352
35004	91	1324	114	1352
35005	122	1324	143	1351
35006	152	1323	177	1352
35007	182	1323	204	1352
** IDLE MARIO
35008	215	1323	231	1352
** RIGHT MARIO
35009	242	1323	264	1352
35010	272	1323	294	1352
35011	303	1324	324	1351
35012	332	1324	355	1352
35013	361	1324	386	1352
35014	393	1324	414	1351
35015	425	1323	441	1352

#CAT-FLYING MARIO
** LEFT MARIO
36001	5	1364	21	1391
36002	32	1369	54	1387
36003	61	1364	85	1392
36004	91	1364	115	1391
36005	121	1364	145	1391
36006	151	1364	175	1391
36007	181	1364	205	1391
** MIDDLE MARIO
36008	215	1363	231	1392
** RIGHT MARIO
36009	241	1364	265	1391
36010	271	1364	295	1391
36011	302	1364	325	1391
36012	331	1364	355	1391
36013	361	1364	385	1392
36014	392	1369	414	1387
36015	425	1364	441	1391

#CAT-RASING HAND MARIO
** LEFT MARIO
37001	3	1407	23	1428
37002	32	1408	53	1427
37003	61	1404	85	1432
37004	91	1404	115	1431
37005	122	1404	143	1431
37006	152	1403	174	1432
37007	182	1403	203	1432
** MIDDLE MARIO
37008	215	1403	231	1432
** RIGHT MARIO
37009	243	1403	264	1432
37010	272	1403	294	1432
37011	303	1404	324	1431
37012	331	1404	355	1431
37013	361	1404	385	1432
37014	393	1408	413	1427
37015	423	1407	443	1428

#MARIO LINE 38
** LEFT MARIO
38001	2	1444	23	1472
38002	30	1444	55	1471
38003	61	1444	85	1471

**FRONT-BACK MARIO
38004	95	1444	101	1472
38005	122	1443	143	1472
38006	155	1443	171	1472
38007	185	1443	201	1472
38008	215	1443	231	1472
38009	245	1443	261	1472
38010	275	1443	291	1472
38011	303	1443	324	1472
38012	335	1444	351	1472

**RIGHT MARIO
38013	361	1444	385	1471
38014	391	1444	416	1471
38015	423	1444	444	1472

#CAT-RUNNING MARIO
**LEFT MARIO
39001	0	1484	25	1511
39002	33	1484	52	1512
39003	61	1483	84	1512
39004	92	1483	114	1512
39005	122	1484	144	1511
39006	152	1484	174	1511
39007	181	1483	204	1512
** MIDDLE MARIO
39008	213	1487	233	1508
** RIGHT MARIO
39009	242	1483	265	1512
39010	272	1484	294	1511
39011	302	1484	324	1511
39012	332	1483	355	1512
39013	362	1483	385	1512
39014	394	1484	413	1512
39015	412	1484	446	1511

#CAT-UPSIDE DOWN MARIO
** LEFT-UPSIDE MARIO
40001	2	1528	23	1548
40002	26	1528	49	1548
40003	53	1527	73	1548
40004	78	1526	98	1549
** LEFT MARIO
40005	110	1531	126	1553
40006	140	1529	156	1552
40007	167	1524	189	1552
** STATUE MARIO
40008	200	1523	216	1552
40009 	230	1523	246	1552
** RIGHT MARIO
40010	257	1524	279	1552
40011	390	1529	306	1552
40012	320	1531	336	1553
** RIGHT-UPSIDE MARIO
40013	348	1526	368	1549
40014	373	1527	393	1548
40015	397	1528	420	1548
40016	423	1528	444	1548

#FINAL LINE
** LEFT MARIO
41001	35	1558	51	1598
41002	61	1563	85	1595
41003	90	1564	115	1594
41004	119	1566	136	1592
41005	150	1564	176	1592
41006	179	1565	197	1593
** RIGHT MARIO
41007	239	1565	267	1593
41008	270	1564	296	1592
41009	300	1566	327	1592
41010	331	1564	356	1594
41011	361	1563	385	1595
41012	395	1558	406	1598s
