
# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\tiles.png	255	128	192
40	textures\tiles4.png	4	193	170
50	textures\enemies-2.png	0	128	128
60	textures\enemy3.png	255	255	255
70	textures\map.png	156	252	240
80	textures\mario2.png	255	255	255
90	textures\mario3.png	255	255	255
100	textures\misc2.png	166	185	255
110	textures\enemies-3.png	0	130	130
120	textures\misc3.png	166	185	255
130	textures\enemies-4.png	0	255	255
140	textures\flower.png	255	255	255
150	textures\mairuadongua.png	0	128	128
160	textures\flower2.png	255	255	255
170	textures\mairuanguahoisinh.png	0	255	255
180	textures\title.png	255	255	255
190	textures\title2.png	237	28	36
200	textures\ruaden.png	255	255	255
210	textures\new_mario_left.png	67	145	190
220	textures\new_mario_right.png	67	145	190
230	textures\menu_game.png	255	219	161
240	textures\HUD.png	0	224	142
250	textures\special_item.png	0	183	239
260	textures\star_and_flower.png	0	183	239
270	textures\mario_transform_left.png	68	145	190
280	textures\mario_transform_right.png	68	145	190
290	textures\end_scene1.png	0	0	0
300	textures\enemies-2-red-goomba-die.png	0	128	128
310	textures\enemies-goomba-normal-die.png	3	26	110
320	textures\mario_fire_transform_black.png	255	255	255
330	textures\mario_fire_transform_blue.png	255	255	255
4010	276	120	291	136	0
4011	307	120	320	136	0
4012	336	120	351	136	0
4013	366	120	380	135	0
4014	396	124	408	138	0
4015	427	124	439	137	0
5001	5	154	21	182	0
5002	35	155	54	181	0
5003	65	154	84	181	0
5004	93	154	112	181	0
5005	125	155	141	181	0
5006	155	154	171	181	0
5007	186	154	200	181	0
5008	215	154	231	181	0
5009	246	154	260	181	0
5010	275	154	291	181	0
5011	305	155	321	181	0
5012	334	154	353	181	0
5013	362	154	381	181	0
5014	392	155	411	181	0
5015	425	154	441	182	0
6001	5p	195	16	221	0
6002	33	195	52	221	0
6003	64	194	82	221	0
6004	93	195	112	221	0
6005	194	19	221	45	0
6006	153	94	172	121	0
6007	184	194	202	221	0
6008	215	194	231	221	0
6009	244	194	262	221	0
6010	274	194	293	221	0
6011	304	194	323	221	0
6012	334	195	353	221	0
6013	364	194	382	221	0
6014	394	195	413	221	0
6015	425	195	441	221	0
7001	6	230	20	257	0
7002	36	234	50	261	0
7003	66	234	80	261	0
7004	96	234	110	261	0
7005	125	235	141	261	0
7006	155	234	170	261	0
7007	186	234	200	261	0
7008	215	234	231	261	0
7009	246	234	260	261	0
7010	276	234	291	261	0
7011	305	235	321	261	0
7012	336	234	350	261	0
7013	366	234	380	261	0
7014	396	234	410	261	0
7015	426	230	440	257	0
8001	2	274	23	301	0
8002	35	275	51	301	0
8003	66	277	80	299	0
8004	95	275	111	300	0
8005	122	274	143	301	0
8006	155	274	171	301	0
8007	185	274	201	301	0
8008	215	274	231	301	0
8009	245	274	261	301	0
8010	275	274	291	301	0
8011	303	274	324	301	0
8012	335	275	351	300	0
8013	366	277	380	299	0
8014	395	275	411	301	0
8015	423	274	444	301	0
9001	3	315	22	341	0
9002	33	314	52	341	0
9003	65	314	81	341	0
9004	96	314	110	341	0
9005	125	315	141	341	0
9006	155	314	170	341	0
9007	214	317	232	338	0
9008	276	314	291	341	0
9009	305	315	321	341	0
9010	336	314	350	341	0
9011	365	314	381	341	0
9012	394	314	413	341	0
9013	424	315	443	341	0
10001	3	358	22	378	0
10002	32	358	53	378	0
10003	63	358	83	377	0
10004	93	357	113	378	0
10005	125	360	141	383	0
10006	155	358	171	382	0
10007	185	354	201	381	0
10008	245	354	261	381	0
10009	275	358	291	382	0
10010	305	360	321	383	0
10011	333	357	353	378	0
10012	363	358	383	377	0
10013	393	358	414	378	0
10014	424	358	443	378	0
11001	5	394	21	422	0
11002	35	395	54	421	0
11003	65	394	84	421	0
11004	93	394	112	421	0
11005	125	395	141	421	0
11006	155	394	171	421	0
11007	186	394	200	421	0
11008	215	394	231	421	0
11009	246	394	260	421	0
11010	275	394	291	421	0
11011	305	395	321	421	0
11012	334	394	353	421	0
11013	362	394	381	421	0
11014	392	395	411	421	0
11015	425	394	441	422	0
12001	5	435	21	461	0
12002	33	435	52	461	0
12003	64	434	82	461	0
12004	93	435	112	461	0
12005	123	434	142	461	0
12006	153	434	172	461	0
12007	184	434	202	461	0
12008	215	434	231	461	0
12009	244	434	262	461	0
12010	274	434	293	461	0
12011	304	434	323	461	0
12012	334	435	353	461	0
12013	364	434	382	461	0
12014	394	435	413	461	0
12015	425	435	441	461	0
13001	6	470	20	497	0
13002	36	474	50	501	0
13003	66	474	80	501	0
13004	96	474	110	501	0
13005	125	475	141	501	0
13006	155	474	170	501	0
13007	186	474	200	501	0
13008	215	474	231	501	0
13009	246	474	260	501	0
13010	276	474	291	501	0
13011	305	475	321	501	0
13012	336	474	350	501	0
13013	366	474	380	501	0
13014	396	474	410	501	0
13015	426	470	440	497	0
14001 	1	514	24	543	0
14002 	34	514	52	542	0
14003	65	516	80	540	0
14004	91	511	113	541	0
14005 	122	513	144	541	0	
14006	155	514	173	543	0
14007	185	513	202	542	0
14008	214	514	232	542	0
14009	245	513	262	542	0	
14010	275	513	292	542	0	
14011	303	514	325	542	0
14012	334	514	352	541	0
14013	366	516	381	538	0
14014	395 	514	412	542	0
14015	422	514	444	541	0
15001	2	555	22	581	0
15002	33	554	52	581	0
15003	65	554	81	581	0
15004	96	554	110	581	0
15005	125	555	141	581	0
15006	155	554	170	581	0
15007	180	553	206	582	0
15008	214	557	232	578	0
15009	240	553	266	582	0
15010	276	554	291	581	0
15011	305	555	321	581	0
15012	336	554	350	581	0
15013	365	554	381	581	0
15014	394	554	413	581	0
15015	424	555	443	581	0
16001	3	598	22	618	0
16002	32	598	53	618	0
16003	63	598	83	617	0
16004	93	597	113	618	0
16005	125	600	141	623	0
16006	155	598	171	622	0	
16007	185	594	201	621	0
16008	
16009	245	594	261	621	0
16010	275	598	291	622	0
16011	305	600	321	623	0	
16012	333	597	353	618	0
16013	363	598	383	617	0
16014	393	598	414	618	0
16015	424	598	443	618	0


#idle tail right
17009	80	142	101	170	80
#walk 
17010	104	142	126	170	80
17011	129	143	152	170	80
#idle tail left
17007	739	142	760	170	90
#walk
17006	714	142	736	170	90
17005	688	143	711	170	90
#jump right
20014	257	143	280	170	80
#idle tail middle
17008	650	142	666	170	90

#back tail
18008	219	142	235	170	80

#jump left
20002	560	143	583	170	90

#brake right
17001	155	140	171	170	80

#brake left
17015	669	140	685	170	90

#fly tail left bottom
19003	321	142	345	170	90

#fly tail left top
20003	375	143	399	170	90

#fly tail right bottom
19013	495	142	519	170	80

#fly tail right top
20013	441	143	465	170	80

#turning left
17004	456	142	480	170	90

#turning right
17012	360	142	384	170	80

#fly TAIL fall right bottom
23012	309	143	332	170	80
#fly TAIL fall right top
21013	283	143	306	170	80
#fly TAIL fall left bottom
23004	508	143	531	170	90
#fly TAILL fall left top
21003	534	143	557	170	90

#high-speed left
24001	456	142	480	170	90
24002	429	142	453	170	90
24003	402	143	426	170	90
#high-speed right
24004	360	142	384	170	80
24005	387	142	411	170	80
24006	414	143	438	170	80

#sit right
18014	522	142	544	170	80
#sit left
18002	296	142	318	170	90

#hold right idle
18020	566	142	587	170	80
#hold left idle
18021	253	142	274	170	90
#hold right walking
18022	590	142	612	170	80
18023	615	143	638	170	80
#hold left walking
18024	228	142	250	170	90
18025	202	143	225	170	90
#shoot right
18026	641	142	663	170	80
#shoot left
18027	177	142	199	170	90
#high-speed left
24001	456	142	480	170	90
24002	429	142	453	170	90
24003	402	143	426	170	90
#high-speed right
24004	360	142	384	170	80
24005	387	142	411	170	80
24006	414	143	438	170	80

25001	1	957	25	979	0
25002	31	957	55	979	0
25003	61	956	85	979	0
25004	
25005	123	956	143	979	0
25006	152	957	174	978	0
25007	185	954	201	981	0
25008	215	952	231	983	0
25009	245	954	261	981	0
25010	272	957	294	978	0
25011	303	956	323	979	0
25012	
25013	361	956	385	979	0
25014	391	957	415	979	0
25015	421	957	445	979	0
26001	5 	994	21	1010	0
26002	35	992	51	1017	0
26003	62	992	83	1023	0
26004	95	992	111	1023	0
26005	124	993	141	1023	0
26006	155	992	171	1023	0
26007	185	992	200	1023	0
26008	215	992	231	1023	0
26009	246	992	261	1023	0
26010	275	992	291	1023	0
26011	305	993	322	1023	0
26012	335	992	351	1023	0
26013	363	992	384	1023	0
26014	395	992	411	1017	0
26015	425	994	441	1018	0
27001	3	1026	23	1046	0
27002	33	1024	53	1048	0
27003	31	1056	55	1076	0
27004	3	1056	23	1076	0
27005	65	1034	81	1061	0
27006	95	1035	16	25	0
27007	125	1035	141	1061	0
27008	155	1035	171	1060	0
27009	185	1036	201	1060	0
27010	215	1035	231	1060	0
27011	245	1036	261	1060	0
27012	275	1035	291	1060	0
27013	305	1035	321	1061	0
27014	335	1035	351	1060	0
27015	365	1034	381	1061	0
27016	393	1024	413	1048	0
27017	423	1026	443	1046	0
27018	391	1056	415	1076	0
27019	423	1056	443	1076	0
29001	5	1084	21	1112	0
29002	34	1084	51	1111	0
29003	64	1084	81	1112	0
29004	93	1084	112	1112	0
29005	125	1084	141	1111	0
29006	155	1084	171	1112	0
29007	185	1084	201	1112	0
29008	215	1084	231	1112	0
29009	245	1084	261	1112	0
29010	275	1084	291	1112	0
29011	305	1084	321	1111	0
29012	334	1084	353	1112	0
29013	365	1084	381	1112	0
29014	395	1084	412	1111	0
29015	425	1084	441	1112	0
30001	5	1124	21	1151	0
30002	33	1124	52	1151	0
30003	63	1124	82	1152	0
30004	93	1124	112	1152	0
30005	123	1124	142	1152	0
30006	154	1124	171	1152	0
30007	184	1124	202	1152	0
30008	215	1124	231	1152	0
30009	244	1124	262	1152	0
30010	275	1124	292	1152	0
30011	304	1124	323	1152	0
30012	334	1124	353	1152	0
30013	364	1124	383	1152	0
30014	394	1124	413	1151	0
30015	425	1124	441	1151	0
31001	5	1170	21	1186	0
31002	35	1164	51	1192	0
31003	65	1164	81	1192	0
31004	95	1164	111	1192	0
31005	125	1164	141	1191	0
31006	155	1164	171	1192	0
31007	185	1164	201	1192	0
31008	215	1164	231	1192	0
31009	245	1164	261	1192	0
31010	275	1164	291	1192	0
31011	305	1164	321	1192	0
31012	335	1164	351	1192	0
31013	365	1164	381	1192	0
31014	395	1164	411	1192	0
31015	425	1170	441	1186	0
32001	2	1204	24	1232	0
32002	35	1204	51	1231	0
32003	95	1205	111	1231	0
32004	122	1204	143	1232	0
32005	155	1204	171	1232	0
32006	185	1204	201	1232	0
32007	215	1204	231	1232	0
32008	245	1204	261	1232	0
32009	275	1204	291	1232	0
32010	303	1204	324	1232	0
32011	335	1205	351	1231	0
32012	395	1204	411	1231	0
32013	422	1204	444	1232	0
33001	3	1244	22	1271	0
33002	33	1244	52	1272	0
33003	65	1244	81	1272	0
33004	95	1244	111	1272	0
33005	124	1244	141	1271	0
33006	154	1244	171	1272	0
33007	214	1247	232	1268	0
33008	275	1244	292	1272	0
33009	305	1244	322	1271	0
33010	335	1244	351	1272	0
33011	365	1244	381	1272	0
33012	394	1244	413	1272	0
33013	424	1244	443	1271	0
34001	3	1288	22	1307	0
34002	34	1289	52	1307	0
34003	64	1288	82	1308	0
34004	94	1288	112	1307	0
34005	125	1290	141	1313	0
34006	155	1288	171	1312	0
34007	185	1284	201	1312	0
34008	245	1284	261	1312	0
34009	275	1288	291	1312	0
34010	305	1290	321	1313	0
34011	334	1288	352	1307	0
34012	364	1288	382	1308	0
34013	394	1289	412	1307	0
34014	424	1288	443	1307	0
35001	5	1323	21	1352	0
35002	32	1324	53	1351	0
35003	60	1324	85	1352	0
35004	91	1324	114	1352	0
35005	122	1324	143	1351	0
35006	152	1323	177	1352	0
35007	182	1323	204	1352	0
35008	215	1323	231	1352	0
35009	242	1323	264	1352	0
35010	272	1323	294	1352	0
35011	303	1324	324	1351	0
35012	332	1324	355	1352	0
35013	361	1324	386	1352	0
35014	393	1324	414	1351	0
35015	425	1323	441	1352	0
36001	5	1364	21	1391	0
36002	32	1369	54	1387	0
36003	61	1364	85	1392	0
36004	91	1364	115	1391	0
36005	121	1364	145	1391	0
36006	151	1364	175	1391	0
36007	181	1364	205	1391	0
36008	215	1363	231	1392	0
36009	241	1364	265	1391	0
36010	271	1364	295	1391	0
36011	302	1364	325	1391	0
36012	331	1364	355	1391	0
36013	361	1364	385	1392	0
36014	392	1369	414	1387	0
36015	425	1364	441	1391	0
37001	3	1407	23	1428	0
37002	32	1408	53	1427	0
37003	61	1404	85	1432	0
37004	91	1404	115	1431	0
37005	122	1404	143	1431	0
37006	152	1403	174	1432	0
37007	182	1403	203	1432	0
37008	215	1403	231	1432	0
37009	243	1403	264	1432	0
37010	272	1403	294	1432	0
37011	303	1404	324	1431	0
37012	331	1404	355	1431	0
37013	361	1404	385	1432	0
37014	393	1408	413	1427	0
37015	423	1407	443	1428	0
38001	2	1444	23	1472	0
38002	30	1444	55	1471	0
38003	61	1444	85	1471	0
38004	95	1444	101	1472	0
38005	122	1443	143	1472	0
38006	155	1443	171	1472	0
38007	185	1443	201	1472	0
38008	215	1443	231	1472	0
38009	245	1443	261	1472	0
38010	275	1443	291	1472	0
38011	303	1443	324	1472	0
38012	335	1444	351	1472	0
38013	361	1444	385	1471	0
38014	391	1444	416	1471	0
38015	423	1444	444	1472	0
39001	0	1484	25	1511	0
39002	33	1484	52	1512	0
39003	61	1483	84	1512	0
39004	92	1483	114	1512	0
39005	122	1484	144	1511	0
39006	152	1484	174	1511	0
39007	181	1483	204	1512	0
39008	213	1487	233	1508	0
39009	242	1483	265	1512	0
39010	272	1484	294	1511	0
39011	302	1484	324	1511	0
39012	332	1483	355	1512	0
39013	362	1483	385	1512	0
39014	394	1484	413	1512	0
39015	412	1484	446	1511	0
40001	2	1528	23	1548	0
40002	26	1528	49	1548	0
40003	53	1527	73	1548	0
40004	78	1526	98	1549	0
40005	110	1531	126	1553	0
40006	140	1529	156	1552	0
40007	167	1524	189	1552	0
40008	200	1523	216	1552	0
40009 	230	1523	246	1552	0
40010	257	1524	279	1552	0
40011	390	1529	306	1552	0
40012	320	1531	336	1553	0
40013	348	1526	368	1549	0
40014	373	1527	393	1548	0
40015	397	1528	420	1548	0
40016	423	1528	444	1548	0
41001	35	1558	51	1598	0
41002	61	1563	85	1595	0
41003	90	1564	115	1594	0
41004	119	1566	136	1592	0
41005	150	1564	176	1592	0
41006	179	1565	197	1593	0
41007	239	1565	267	1593	0
41008	270	1564	296	1592	0
41009	300	1566	327	1592	0
41010	331	1564	356	1594	0
41011	361	1563	385	1595	0
41012	395	1558	406	1598	0
400001	300	117	316	133	20
400002	318	117	334	133	20
400003	336	117	352	133	20
400004	355	117	370	133	20

400005	415	48	431	75	80


#==== MARIO GREEN
#MARIO_GREEN_ANI_BIG_IDLE_RIGHT	
42000	197	78	211	105	80
#MARIO_GREEN_ANI_BIG_IDLE_LEFT	
42001	629	78	643	105	90
#MARIO_GREEN_ANI_BIG_WALKING_RIGHT
42002	214	78	230	105	80
42003	233	79	249	105	80
#MARIO_GREEN_ANI_BIG_WALKING_LEFT
42004	610	78	626	105	90
42005	591	79	607	105	90
#MARIO_GREEN_ANI_BIG_JUMPING_RIGHT	
42006	271	79	287	105	80
#MARIO_GREEN_ANI_BIG_JUMPING_LEFT	
42007	553	79	569	105	90
# MARIO_GREEN_ANI_BIG_HOLDING_IDLE_RIGHT
42008	434	78	448	105	80
# MARIO_GREEN_ANI_BIG_HOLDING_IDLE_LEFT
42009	392	78	406	105	90
# MARIO_GREEN_ANI_BIG_HOLDING_RIGHT
42010	451	78	466	105	80
42011	469	79	485	105	80
# MARIO_GREEN_ANI_BIG_HOLDING_LEFT	
42012	374	78	389	105	90
42013	355	79	371	105	90
# MARIO_GREEN_ANI_BIG_KICKING_RIGHT
42014	488	78	509	105	80
# MARIO_GREEN_ANI_BIG_KICKING_LEFT
42015	331	78	352	105	90



#===== MARIO TRANSFORM FROM BIG TO SMALL AND SMALL TO BIG 
#======LEFT======
22000	209	127	223	154	270
#======RIGHT======
22001	299	127	313	154	280


#==== MARIO TRANSFORM FROM BIG TO TAIL AND TAIL TO BIG
#=====LEFT=======
22002	415	1	431	17	270
22003	435	3	447	15	270
22004	453	3	465	15	270
22005	471	4	483	14	270
#====RIGHT======
22006	415	19	431	35	270
22007	435	21	447	33	270
22008	453	21	465	33	270
22009	471	22	483	32	270

#===== MARIO TRANSFORM FROM TAIL TO FIRE 
#==== RIGHT
22010	335	244	351	270	330
22011	335	244	351	270	320
#==== LEFT
22012	55	244	71	270	330
22013	55	244	71	270	320

#===== MARIO TAIL JUMP MAX POWER
#==== RIGHT
35000	468	143	492	170	80
#==== LEFT
35001	348	143	372	170	90

#SECTION 1

#DOUBLE PIPE BLACK BODY RIGHT
80019	177	379	190	393	40

#DOUBLE PIPE BLACK BODY LEFT
80018	161	379	175	393	40

#DOUBLE PIPE BLACK
80017	2320	480	2351	495	70

#DOUBLE PIPE
80016	2320	384	2351	399	70

#====Gach Xanh=====
80015	290	188	306	204	30

#BREAKABLE BRICK
80011	561	127	577	143	40
80012	578	127	594	143	40
80013	561	144	577	160	40
80014	578	144	594	160	40

#==== GACH BU L? ====
50010	324	171	340	187	30

#==== MÂY LO?I 1, 2 ====
80000	222	171	238	187	30
80001	222	188	238	304	30

#===KOOPAS XANH SHELL
#80002	152	202	168	218	50

#80003	239	202	255	218	50

80004	256	202	272	218	50
80005	273	202	289	218	50
80006	290	202	306	218	50

#===KOOPAS ?? SHELL

80008	256	174	272	190	50
80009	273	174	289	190	50
80010	290	174	306	190	50

#==== KOOPAS XANH SHELL SPINNING NGUA
80100	32	203	48	219	170
80101	53	204	69	220	170
80102	74	204	90	220	170
#==== KOOPAS RED SHELL SPINNING NGUA
80103	29	255	45	271	170
80104	50	256	66	272	170
80105	71	256	87	272	170

#==== WORDS END SCENE 1
#====COURSE CLEAR
80200	44	18	159	25	290
#====YOU GOT A CARD
80201	27	42	144	50	290
#SECTION 1 END

#SECTION 2

#==== DONG TIEN
70100	299	99	313	115	20
70101	317	99	330	115	20
70102	335	99	347	115	20

#==== GACH BU TRÊN ====
50004	9	10	23	25	40
50005	26	10	40	25	40
50006	42	10	58	25	40

#==== GACH BU DUOI ====
50007	9	27	23	41	40
50008	26	27	40	41	40
50009	42	27	58	41	40

#==== GACH NHO LOAI 1 ====
50001	222	222	238	238	30
50002	239	222	255	238	30
50003	256	222	272	238	30

#==== HÀNG CÂY 1 ====
70000	140	52	153	68	30
70001	137	52	153	68	30
70002	138	1	153	17	30
70003	154	1	169	17	30
70004	137	18	153	34	30
70005	154	18	170	34	30
70006	137	35	153	51	30
70007	154	35	170	51	30


#==== BUI CAY NHO 
70008	222	205	238	221	30

#==== MAY 1 CUC
70201	328	257	360	280	70

#==== MAY 2 CUC
70202	120	273	168	296	70

#==== MAY BA CUC
70203	728	305	792	328	70
	




#==== FIRE BULLET
#==== FIRE BULLET RIGHT
70501	323	79	332	87	50
70502	333	78	340	87	50
#==== FIRE BULLET LEFT
70503	313	79	322	87	50
70504	305	78	312	87	50

#==== FLOWER RED

#==== FLOWER LEFT
70505	290	91	306	123	50
70506	273	91	289	123	50
#==== FLOWER RIGHT
70507	228	91	244	123	110
70508	245	91	261	123	110


#==== FLOWER GREEN
#==== FLOWER GREEN CHUA CAP
70701	625	137	641	161	130
#==== FLOWER GREEN CAP
70702	625	108	641	131	130


#==== FLOWER GREEN CAN SHOOT
#==== FLOWER GREEN CAN SHOOT LEFT
70703	237	100	253	124	140
70704	6	166	22	190	130
#==== FLOWER GREEN CAN SHOOT RIGHT
70705	186	100	202	124	160
70706	626	166	642	190	130


#===== BOOMERANG ENEMY 
#===== NORMAL RIGHT
100022	529	171	545	195	130
100023	552	171	568	195	130
#===== THROW RIGHT
100024	575	171	591	195	130
100025	599	171	615	195	130
#===== DIE RIGHT
100026	529	173	545	197	170
100027	552	173	568	197	170

#===== NORMAL LEFT
100028	103	171	119	195	130
100029	80	171	96	195	130
#===== THROW LEFT
100030	57	171	73	195	130
100031	33	171	49	195	130
#===== DIE LEFT
100032	103	173	119	197	170
100033	80	173	96	197	170


#==== FLOWER BULLET
70509	162	124	170	132	80
70510	173	123	181	132	80
70511	184	124	192	132	80
70512	195	123	203	132	80

#==== QUESTION BRICK 
70513	157	188	173	204	100
70514	176	188	192	204	100
70515	196	188	212	204	100
70516	215	188	231	204	100

#==== QUESTION BRICK WITHOUT QUESTION
70517	235	188	251	204	100

#===== LEAF
#===== LEAF LEFT
70518	180	123	196	137	100
#===== LEAF RIGHT
70519	233	122	249	136	120

#====MUSHROOM RED
70601	300	189	316	205	20

#==== MUSHROOM GREEN
70602	318	189	334	205	20

#===== BELL
70603	156	144	172	160	100
70604	178	144	194	160	100
70605	200	144	216	160	100



#====== FLOWER RED SHOOTING UP
#====== FLOWER RED SHOOTING UP LEFT
70803	201	126	217	158	140
#====== FLOWER RED SHOOTING UP RIGHT
70804	222	126	238	158	160

#====== FLOWER RED SHOOTING UP IDLE LEFT
70801	7	71	23	103	130

#====== FLOWER RED SHOOTING UP IDLE RIGHT
70802	625	71	641	103	130




#====== FLOWER GREEN CAN SHOOT SHOOTING UP
#====== FLOWER GREEN CAN SHOOT SHOOTING UP LEFT
70805	271	100	287	124	140
#====== FLOWER GREEN CAN SHOOT SHOOTING UP RIGHT
70806	152	100	168	124	160
#====== FLOWER GREEN CAN SHOOT SHOOTING UP IDLE LEFT
70807	6	195	22	219	130
#====== FLOWER GREEN CAN SHOOT SHOOTING UP IDLE RIGHT
70808	626	195	642	219	130


#=================FINAL BACKGROUND=====
#=== THE SAW BACKGROUND === 
200001	508	176	596	345	250
#=== THE BUSHES OF BACKGROUND ===
200011	103	1	119	17	30
200012	120	1	136	17	30
200013	103	18	119	34	30
200014	120	18	136	34	30
200015	103	35	119	51	30
200016	120	35	136	51	30
200017	120	52	136	68	30
#==== THE SQUARE OF ITEM===
200021	137	86	153	102	30
200022	154	86	170	102	30
200023	137	103	153	119	30
200024	154	103	170	119	30
#=== THE BLACK OF BACKGROUND
200031	2564	80	2816	249	70

#SECTION 2 END

#SECTION 3-TÂN
#======= Kh?i tr?ng
60001	1	1	18	18	30
60002	18	1	34	17	30
60003	35	1	51	17	30
60004	1	18	17	34	30
60005	18	18	34	34	30
60006	35	18	51	34	30
60007	1	35	17	51	30
60008	18	35	34	51	30
60009	35	35	51	51	30
#===== Kh?i ??
60011	1	52	17	68	30
60012	18	52	34	68	30
60013	35	52	51	68	30
60014	1	69	17	85	30
60015	18	69	34	85	30
60016	35	69	51	85	30
60017	1	86	17	102	30
60018	18	86	34	102	30
60019	35	86	51	102	30
#==== Kh?i xanh D??NG
60021	52	52	68	68	30
60022	69	52	85	68	30
60023	86	52	102	68	30
60024	52	69	68	85	30
60025	69	69	85	85	30
60026	86	69	102	85	30
60027	52	86	68	102	30
60028	69	86	85	102	30
60029	86	86	102	102	30
#===== KH?I XANH LÁ
60031	52	1	68	17	30
60032	69	1	85	17	30
60033	86	1	102	17	30
60034	52	18	68	34	30
60035	69	18	85	34	30
60036	86	18	102	34	30
60037	52	35	68	51	30
60038	69	35	85	51	30
60039	86	35	102	51	30
#==== V?T ?EN
60041	103	77	111	93	30
60042	103	86	111	102	30
60043	103	103	111	111	30
#==== V?T ?EN D??I
60044	77	103	85	111	30
60045	86	103	102	111	30
#==== ?NG C?NG D?C
60051	324	52	340	68	30
60052	341	52	357	68	30
60053	325	69	340	85	30
60054	341	69	356	85	30
#===1 VIÊN G?CH R?NG C?A SIÊU B?
60055	443	120	459	136	30
60056	460	120	476	136	30
60057	443	137	459	153	30
60058	460	137	476	153	30

#GOOMBA
60059	5	14	21	29	10
60060	25	14	41	29	10



#GOOMBA die
60061	45	14	61	29	10
#KOOPAS XANH_ ?I B? 
#walk left
60062	205	191	221	218	50
60063	222	191	238	218	50
#walk right
60064	187	191	202	218	50
60065	170	191	185	218	50
#die
60066	152	202	168	218	50


###KOOPAS XANH_ BAY_PH?I SANG TRÁI
60067	205	248	221	276	50
60068	222	250	238	276	50
60069	239	249	255	276	50
60070	256	249	272	276	50
#KOOPA MAI RÙA XANH
#ÚP
60071	239	202	255	218	50
60072	256	202	272	218	50
60073	273	202	289	218	50
60074	290	202	306	218	50
#Ng?a
60075	152	202	168	218	50
#KOOPA ?? _?I B?
#WALK LEFT	
60076	205	163	221	190	50
60077	222	164	238	190	50
#WALK RIGHT	
60093	296	164	312	190	110
60094	313	163	329	190	110
#KOOOP ?? _BAY
60078	205	219	221	219	50
60079	222	221	238	219	50
60080	239	249	255	219	50
60081	256	249	272	219	50
#MAI RÙA ??
#ÚP					
60082	239	174	255	190	50
60083	256	174	272	190	50
60084	273	174	289	190	50
